Date,Couverture de la Page Facebook
2022-08-22T00:00:00,60
2022-08-23T00:00:00,1202
2022-08-24T00:00:00,3927
2022-08-25T00:00:00,3471
2022-08-26T00:00:00,4357
2022-08-27T00:00:00,2301
2022-08-28T00:00:00,49
2022-08-29T00:00:00,29
2022-08-30T00:00:00,38
2022-08-31T00:00:00,22
2022-09-01T00:00:00,46
2022-09-02T00:00:00,1154
2022-09-03T00:00:00,4848
2022-09-04T00:00:00,4664
2022-09-05T00:00:00,6941
2022-09-06T00:00:00,7254
2022-09-07T00:00:00,7893
2022-09-08T00:00:00,111
2022-09-09T00:00:00,67
2022-09-10T00:00:00,67
2022-09-11T00:00:00,341
2022-09-12T00:00:00,438
2022-09-13T00:00:00,154
2022-09-14T00:00:00,627
2022-09-15T00:00:00,441
2022-09-16T00:00:00,116
2022-09-17T00:00:00,94
2022-09-18T00:00:00,342
