Date,Couverture Instagram
2022-08-22T00:00:00,39
2022-08-23T00:00:00,1171
2022-08-24T00:00:00,2147
2022-08-25T00:00:00,1860
2022-08-26T00:00:00,2144
2022-08-27T00:00:00,2149
2022-08-28T00:00:00,540
2022-08-29T00:00:00,438
2022-08-30T00:00:00,667
2022-08-31T00:00:00,371
2022-09-01T00:00:00,262
2022-09-02T00:00:00,294
2022-09-03T00:00:00,1147
2022-09-04T00:00:00,3360
2022-09-05T00:00:00,3660
2022-09-06T00:00:00,4075
2022-09-07T00:00:00,5172
2022-09-08T00:00:00,205
2022-09-09T00:00:00,115
2022-09-10T00:00:00,753
2022-09-11T00:00:00,508
2022-09-12T00:00:00,676
2022-09-13T00:00:00,280
2022-09-14T00:00:00,131
2022-09-15T00:00:00,484
2022-09-16T00:00:00,259
2022-09-17T00:00:00,129
2022-09-18T00:00:00,741
